门店名,消费笔数
南京中央商场2F店,69
宁波奉化太平洋百货店,100
广州百信广场店,30
苏州凤凰街店,145
苏州科技城锦峰店,167
南京建邺吾悦广场店,114
杭州东方通信店,92
天津市长江道宝利国际店,131
上海盛源生活广场店,120
宁波宁海西子国际店,112
苏州恒宇广场店,171
台州路桥星光耀广场店,64
宁波江东银泰店,158
联强国际店,71
珠海中珠大厦店,30
成都宽窄巷子店,49
天津新开路远洋新天地店,85
东方蓝海广场店,135
深圳万象天地店,220
宁波万象城3F店,134
湘潭建设南路店,37
杭州来福士1F店,115
上海陆家嘴中心店,109
青岛延吉路万达广场2店,24
杭州富阳富春港店,52
深圳湾创新科技中心店,78
上海文通国际广场店,71
成都新都新城市广场店,35
常州万都广场店,78
北京大族溢彩城店,39
北京羊坊店路咖啡店,54
宁波迪信通E10广场店,79
扬州金鹰店,73
青浦赵巷店,248
乐山华地财富广场店,30
成都润扬双铁广场店,53
长沙黄兴路店,31
苏州新湖广场店,116
上海新田360广场康桥,143
东莞大朗中央盛景店,41
杭州万科杭行荟店,69
温州龙港财富广场店,60
杭州华夏之心店,66
北京首都机场11店,73
武汉创意天地店,27
深圳中粮创芯店,68
宁波天一药行街店,64
波特曼店,234
美罗大厦店,100
北京西局华联新址,28
成都锦华万达广场店,59
杭州之江金街奥莱店,93
深圳龙华人民北店,49
北京国际投资大厦店,25
杭州萧山归谷大厦店,100
上海松江谷阳北路店,85
万宁首创奥特莱斯店,25
北京远大路第三咖啡店,78
福州闽侯万家广场分店,23
宿州吾悦广场店,50
郑州璞丽中心店,58
威海九龙城店,57
天津洞庭路中冶和悦汇店,38
光启城店,86
成都红星生活美学中心店,42
南京江北印象汇店,80
深圳东海坊分店,99
西安金辉环球广场店,41
广州白云机场T2一店,82
金华双龙南街店,41
广州花城湾店,44
枣阳路店,91
夏碧路店,106
金领之都店,45
杭州紫金广场店,89
昆明悦云天地购物中心店,41
佛山三水万达店,29
苏州星海店,149
深圳天健大厦分店,72
上海国际财富中心店,70
岳阳步步高广场,67
北京海淀新中关大厦店,81
西安城市立方店,31
苏州昆山金鹰尚美酒店店,70
汇阳广场店,116
宁波江东天伦店,58
上海金汇南路店,108
佛山顺联公园里店,87
天津梅江凤水园咖啡店,82
义乌银都酒店店,68
宁波路劲新天地店,22
广州海珠太古仓店,26
柳州五星商厦店,31
无锡东方商厦店,64
温州南塘新天地店,60
苏州汇豪店,238
君庭广场店,54
长沙中建梅澜坊,36
悦荟店,91
广州萝岗东方汇广场店,182
协信星光广场北区店,122
南京虹悦城店,144
上海博隆商业广场店,238
绍兴诸暨雄风新天地店,103
台州仙居吾悦广场店,55
杭州临平莱蒙商业广场店,50
合肥大融城,34
重庆星光天地店,42
杭州萧山城市生活广场店,120
上海港陆广场店,112
杭州泽怀广场店,116
G25桐庐服务北区店,53
淮南万达广场店,47
济南海尔绿城咖啡店,69
汕头星湖城分店,34
天津永旺梦乐城梅江店,31
金华三江印店,57
浙江万里学院店,36
上海复兴荟店,136
杭州富阳万达广场店,90
武汉华发未来荟店,28
